threshold	alignment_size	SNPs
90	10000	1942504
90	9750	1942458
90	9500	1942462
90	9250	1942430
90	9000	1942402
90	8750	1942483
90	8500	1942494
90	8250	1942557
90	8000	1942477
90	7750	1942449
90	7500	1942416
90	7250	1942333
90	7000	1942296
90	6750	1942257
90	6500	1942285
90	6250	1942274
90	6000	1942267
90	5750	1942300
90	5500	1942416
90	5250	1942337
90	5000	1942416
90	4750	1942424
90	4500	1942556
90	4250	1942463
90	4000	1942605
90	3750	1942531
90	3500	1942706
90	3250	1942580
90	3000	1942611
90	2750	1942712
90	2500	1942724
90	2250	1942397
90	2000	1942598
90	1750	1942661
90	1500	1942620
90	1250	1942151
90	1000	1942635
90	750	1943177
90	500	1943607
90	250	1945515
90	100	1944207
90	75	1939220
90	50	1954892
90	25	1938311
90	10000	1942470
90	9750	1942442
90	9500	1942419
90	9250	1942427
90	9000	1942444
90	8750	1942445
90	8500	1942547
90	8250	1942621
90	8000	1942590
90	7750	1942573
90	7500	1942609
90	7250	1942603
90	7000	1942667
90	6750	1942787
90	6500	1942784
90	6250	1942699
90	6000	1942727
90	5750	1942744
90	5500	1942834
90	5250	1942885
90	5000	1942783
90	4750	1942683
90	4500	1942497
90	4250	1942701
90	4000	1942681
90	3750	1942716
90	3500	1942768
90	3250	1942678
90	3000	1942470
90	2750	1942575
90	2500	1942440
90	2250	1942293
90	2000	1941923
90	1750	1942193
90	1500	1941373
90	1250	1941876
90	1000	1942328
90	750	1942587
90	500	1943311
90	250	1948635
90	100	1943933
90	75	1948836
90	50	1946984
90	25	1953449
90	10000	1942507
90	9750	1942509
90	9500	1942462
90	9250	1942426
90	9000	1942464
90	8750	1942411
90	8500	1942476
90	8250	1942518
90	8000	1942476
90	7750	1942447
90	7500	1942428
90	7250	1942447
90	7000	1942495
90	6750	1942452
90	6500	1942578
90	6250	1942563
90	6000	1942548
90	5750	1942546
90	5500	1942577
90	5250	1942659
90	5000	1942821
90	4750	1942757
90	4500	1942808
90	4250	1942915
90	4000	1943103
90	3750	1943014
90	3500	1943049
90	3250	1943076
90	3000	1942769
90	2750	1942714
90	2500	1942699
90	2250	1942740
90	2000	1942598
90	1750	1943332
90	1500	1943437
90	1250	1943425
90	1000	1943949
90	750	1944054
90	500	1943982
90	250	1939798
90	100	1942026
90	75	1941123
90	50	1946193
90	25	1933494
90	10000	1942498
90	9750	1942524
90	9500	1942552
90	9250	1942573
90	9000	1942577
90	8750	1942528
90	8500	1942530
90	8250	1942418
90	8000	1942333
90	7750	1942232
90	7500	1942201
90	7250	1942183
90	7000	1942230
90	6750	1942237
90	6500	1942316
90	6250	1942365
90	6000	1942254
90	5750	1942318
90	5500	1942300
90	5250	1942405
90	5000	1942468
90	4750	1942448
90	4500	1942434
90	4250	1942380
90	4000	1942597
90	3750	1942598
90	3500	1942614
90	3250	1942547
90	3000	1942385
90	2750	1942558
90	2500	1942336
90	2250	1942251
90	2000	1942235
90	1750	1942598
90	1500	1942310
90	1250	1941964
90	1000	1941933
90	750	1942838
90	500	1944757
90	250	1944597
90	100	1948314
90	75	1944621
90	50	1946131
90	25	1941120
90	10000	1942521
90	9750	1942494
90	9500	1942522
90	9250	1942512
90	9000	1942505
90	8750	1942559
90	8500	1942527
90	8250	1942517
90	8000	1942426
90	7750	1942381
90	7500	1942397
90	7250	1942422
90	7000	1942534
90	6750	1942545
90	6500	1942498
90	6250	1942605
90	6000	1942476
90	5750	1942577
90	5500	1942379
90	5250	1942555
90	5000	1942487
90	4750	1942426
90	4500	1942906
90	4250	1942716
90	4000	1942324
90	3750	1942393
90	3500	1942530
90	3250	1942652
90	3000	1942814
90	2750	1942535
90	2500	1942460
90	2250	1942676
90	2000	1942453
90	1750	1942493
90	1500	1942684
90	1250	1942994
90	1000	1943156
90	750	1943747
90	500	1945213
90	250	1947348
90	100	1945782
90	75	1941990
90	50	1948290
90	25	1942330
90	10000	1942521
90	9750	1942451
90	9500	1942447
90	9250	1942528
90	9000	1942505
90	8750	1942437
90	8500	1942494
90	8250	1942449
90	8000	1942432
90	7750	1942382
90	7500	1942283
90	7250	1942139
90	7000	1942115
90	6750	1942078
90	6500	1942191
90	6250	1942184
90	6000	1942317
90	5750	1942375
90	5500	1942374
90	5250	1942401
90	5000	1942496
90	4750	1942448
90	4500	1942292
90	4250	1942563
90	4000	1942599
90	3750	1942898
90	3500	1943096
90	3250	1943002
90	3000	1943244
90	2750	1943375
90	2500	1943277
90	2250	1943411
90	2000	1943672
90	1750	1943319
90	1500	1943253
90	1250	1943317
90	1000	1943796
90	750	1943626
90	500	1943835
90	250	1943363
90	100	1945361
90	75	1947056
90	50	1952450
90	25	1939788
90	10000	1942458
90	9750	1942454
90	9500	1942435
90	9250	1942410
90	9000	1942351
90	8750	1942345
90	8500	1942337
90	8250	1942326
90	8000	1942283
90	7750	1942239
90	7500	1942135
90	7250	1942080
90	7000	1942087
90	6750	1942016
90	6500	1941944
90	6250	1941946
90	6000	1941908
90	5750	1941579
90	5500	1941599
90	5250	1941461
90	5000	1940930
90	4750	1940692
90	4500	1940705
90	4250	1940535
90	4000	1940452
90	3750	1940505
90	3500	1941411
90	3250	1941644
90	3000	1941074
90	2750	1941329
90	2500	1940883
90	2250	1941045
90	2000	1941026
90	1750	1940829
90	1500	1940896
90	1250	1940035
90	1000	1940864
90	750	1940400
90	500	1939844
90	250	1938827
90	100	1934515
90	75	1934391
90	50	1941725
90	25	1946814
90	10000	1942504
90	9750	1942492
90	9500	1942436
90	9250	1942542
90	9000	1942495
90	8750	1942488
90	8500	1942571
90	8250	1942598
90	8000	1942565
90	7750	1942599
90	7500	1942539
90	7250	1942522
90	7000	1942506
90	6750	1942395
90	6500	1942392
90	6250	1942349
90	6000	1942389
90	5750	1942456
90	5500	1942525
90	5250	1942474
90	5000	1942416
90	4750	1942374
90	4500	1942178
90	4250	1942161
90	4000	1941988
90	3750	1941887
90	3500	1941852
90	3250	1942064
90	3000	1942086
90	2750	1942136
90	2500	1942235
90	2250	1942243
90	2000	1942285
90	1750	1942387
90	1500	1942091
90	1250	1943748
90	1000	1943072
90	750	1945748
90	500	1945510
90	250	1947169
90	100	1946559
90	75	1948328
90	50	1955026
90	25	1946819
90	10000	1942510
90	9750	1942480
90	9500	1942473
90	9250	1942512
90	9000	1942535
90	8750	1942532
90	8500	1942543
90	8250	1942561
90	8000	1942612
90	7750	1942602
90	7500	1942526
90	7250	1942433
90	7000	1942525
90	6750	1942551
90	6500	1942407
90	6250	1942433
90	6000	1942457
90	5750	1942442
90	5500	1942403
90	5250	1942486
90	5000	1942403
90	4750	1942167
90	4500	1942002
90	4250	1941910
90	4000	1942034
90	3750	1942194
90	3500	1942200
90	3250	1942080
90	3000	1941958
90	2750	1942612
90	2500	1942581
90	2250	1942606
90	2000	1942717
90	1750	1942255
90	1500	1942238
90	1250	1941572
90	1000	1942616
90	750	1941383
90	500	1940688
90	250	1941824
90	100	1945168
90	75	1945892
90	50	1950337
90	25	1937227
90	10000	1942548
90	9750	1942536
90	9500	1942592
90	9250	1942573
90	9000	1942559
90	8750	1942484
90	8500	1942478
90	8250	1942427
90	8000	1942499
90	7750	1942465
90	7500	1942515
90	7250	1942580
90	7000	1942570
90	6750	1942533
90	6500	1942573
90	6250	1942518
90	6000	1942452
90	5750	1942386
90	5500	1942380
90	5250	1942339
90	5000	1942449
90	4750	1942458
90	4500	1942554
90	4250	1942632
90	4000	1942709
90	3750	1942560
90	3500	1942572
90	3250	1942556
90	3000	1942855
90	2750	1942656
90	2500	1942714
90	2250	1943039
90	2000	1943137
90	1750	1943154
90	1500	1944507
90	1250	1944372
90	1000	1945922
90	750	1944365
90	500	1943603
90	250	1944956
90	100	1940915
90	75	1943913
90	50	1947861
90	25	1933413
100	10000	256835
100	9750	263783
100	9500	270740
100	9250	277172
100	9000	281579
100	8750	289734
100	8500	297084
100	8250	305773
100	8000	312628
100	7750	321284
100	7500	329297
100	7250	338070
100	7000	351278
100	6750	360430
100	6500	371080
100	6250	379452
100	6000	391716
100	5750	405561
100	5500	418926
100	5250	430310
100	5000	444666
100	4750	465694
100	4500	482811
100	4250	501845
100	4000	527042
100	3750	548622
100	3500	571684
100	3250	590090
100	3000	625437
100	2750	650405
100	2500	684056
100	2250	724090
100	2000	766401
100	1750	795283
100	1500	846544
100	1250	897245
100	1000	982131
100	750	1091804
100	500	1241765
100	250	1451831
100	100	1618906
100	75	1644851
100	50	1723183
100	25	1764844
100	10000	255019
100	9750	260077
100	9500	265619
100	9250	274071
100	9000	279192
100	8750	286736
100	8500	294187
100	8250	303698
100	8000	312596
100	7750	321507
100	7500	331636
100	7250	340162
100	7000	347862
100	6750	359918
100	6500	368872
100	6250	377103
100	6000	386721
100	5750	401274
100	5500	413769
100	5250	429767
100	5000	441851
100	4750	463110
100	4500	475280
100	4250	501326
100	4000	526850
100	3750	541826
100	3500	564157
100	3250	595850
100	3000	616082
100	2750	650096
100	2500	675720
100	2250	704986
100	2000	751138
100	1750	811342
100	1500	863288
100	1250	958807
100	1000	1038811
100	750	1138653
100	500	1275862
100	250	1473604
100	100	1704157
100	75	1734458
100	50	1760951
100	25	1820207
100	10000	256345
100	9750	260188
100	9500	265647
100	9250	271403
100	9000	279024
100	8750	282742
100	8500	290188
100	8250	295541
100	8000	303719
100	7750	310654
100	7500	318967
100	7250	327584
100	7000	338077
100	6750	345724
100	6500	363018
100	6250	373765
100	6000	383654
100	5750	394600
100	5500	410634
100	5250	422692
100	5000	441865
100	4750	456499
100	4500	476820
100	4250	492815
100	4000	511351
100	3750	539879
100	3500	560436
100	3250	584142
