threshold	alignment_size	SNPs
90	10000	173841
90	9750	172022
90	9500	170629
90	9250	169565
90	9000	167482
90	8750	165788
90	8500	163905
90	8250	162757
90	8000	160843
90	7750	159032
90	7500	157515
90	7250	155299
90	7000	153692
90	6750	151102
90	6500	149644
90	6250	147796
90	6000	145056
90	5750	142991
90	5500	140728
90	5250	138016
90	5000	135656
90	4750	133295
90	4500	131715
90	4250	128373
90	4000	124847
90	3750	122029
90	3500	117726
90	3250	114024
90	3000	110920
90	2750	105972
90	2500	102248
90	2250	98670
90	2000	92945
90	1750	88158
90	1500	83105
90	1250	78277
90	1000	72899
90	750	64391
90	500	53263
90	250	42698
90	100	32212
90	75	29659
90	50	26189
90	25	21351
90	10000	173153
90	9750	171737
90	9500	169871
90	9250	167704
90	9000	165957
90	8750	164562
90	8500	162790
90	8250	159561
90	8000	158111
90	7750	156235
90	7500	153928
90	7250	151723
90	7000	150534
90	6750	148929
90	6500	145167
90	6250	143086
90	6000	141388
90	5750	138241
90	5500	135655
90	5250	133304
90	5000	130614
90	4750	128063
90	4500	125489
90	4250	123557
90	4000	120524
90	3750	117262
90	3500	114987
90	3250	111624
90	3000	108055
90	2750	104548
90	2500	100566
90	2250	96472
90	2000	92092
90	1750	86937
90	1500	81101
90	1250	77093
90	1000	71925
90	750	64800
90	500	55643
90	250	43152
90	100	33188
90	75	30714
90	50	26991
90	25	19524
90	10000	173708
90	9750	172576
90	9500	171171
90	9250	169019
90	9000	167315
90	8750	165677
90	8500	163823
90	8250	162584
90	8000	160979
90	7750	159070
90	7500	157433
90	7250	156263
90	7000	153583
90	6750	151724
90	6500	149958
90	6250	148141
90	6000	145915
90	5750	142582
90	5500	139359
90	5250	136847
90	5000	134318
90	4750	130972
90	4500	127775
90	4250	124196
90	4000	121456
90	3750	118032
90	3500	113404
90	3250	110672
90	3000	106661
90	2750	102785
90	2500	99218
90	2250	96221
90	2000	91987
90	1750	86711
90	1500	81074
90	1250	76682
90	1000	68501
90	750	60311
90	500	52508
90	250	43091
90	100	32694
90	75	29676
90	50	26264
90	25	22398
90	10000	173852
90	9750	172226
90	9500	171156
90	9250	169752
90	9000	168176
90	8750	166931
90	8500	165260
90	8250	162943
90	8000	160873
90	7750	159234
90	7500	157291
90	7250	155459
90	7000	153707
90	6750	151721
90	6500	149489
90	6250	146886
90	6000	144033
90	5750	141604
90	5500	140110
90	5250	137139
90	5000	134864
90	4750	133243
90	4500	129980
90	4250	128050
90	4000	123799
90	3750	120358
90	3500	116601
90	3250	114231
90	3000	110960
90	2750	106717
90	2500	103321
90	2250	98049
90	2000	93949
90	1750	89888
90	1500	84862
90	1250	79926
90	1000	72353
90	750	66503
90	500	55710
90	250	42927
90	100	33245
90	75	28895
90	50	25287
90	25	20026
90	10000	173654
90	9750	172346
90	9500	171098
90	9250	168896
90	9000	166124
90	8750	164254
90	8500	162495
90	8250	161420
90	8000	159993
90	7750	157891
90	7500	156070
90	7250	154479
90	7000	151651
90	6750	149886
90	6500	147746
90	6250	145079
90	6000	142596
90	5750	140021
90	5500	138321
90	5250	136234
90	5000	134094
90	4750	131135
90	4500	128594
90	4250	125981
90	4000	123738
90	3750	121463
90	3500	118481
90	3250	115467
90	3000	111443
90	2750	107297
90	2500	104377
90	2250	99932
90	2000	95543
90	1750	90398
90	1500	84895
90	1250	79670
90	1000	73344
90	750	66844
90	500	58487
90	250	44612
90	100	34050
90	75	29634
90	50	26585
90	25	22003
90	10000	173821
90	9750	172534
90	9500	171230
90	9250	169662
90	9000	167950
90	8750	166246
90	8500	164539
90	8250	162879
90	8000	161117
90	7750	159001
90	7500	156882
90	7250	153638
90	7000	151695
90	6750	149596
90	6500	148169
90	6250	145957
90	6000	143726
90	5750	141191
90	5500	139022
90	5250	136416
90	5000	134016
90	4750	131264
90	4500	127905
90	4250	124693
90	4000	122279
90	3750	117562
90	3500	114404
90	3250	111439
90	3000	108046
90	2750	104392
90	2500	100644
90	2250	97327
90	2000	93460
90	1750	89335
90	1500	84698
90	1250	78593
90	1000	71343
90	750	65215
90	500	54842
90	250	43328
90	100	31503
90	75	28783
90	50	26953
90	25	22977
90	10000	173430
90	9750	172178
90	9500	170401
90	9250	167759
90	9000	166333
90	8750	164459
90	8500	162878
90	8250	161219
90	8000	159396
90	7750	157926
90	7500	156064
90	7250	153850
90	7000	151561
90	6750	149606
90	6500	147520
90	6250	145924
90	6000	144384
90	5750	141936
90	5500	140067
90	5250	137832
90	5000	135069
90	4750	132444
90	4500	128991
90	4250	126521
90	4000	123809
90	3750	121138
90	3500	116056
90	3250	112361
90	3000	109146
90	2750	105252
90	2500	99861
90	2250	94101
90	2000	90530
90	1750	85564
90	1500	80403
90	1250	74466
90	1000	68934
90	750	62975
90	500	54137
90	250	40293
90	100	31594
90	75	29679
90	50	25523
90	25	20165
90	10000	173237
90	9750	171906
90	9500	170229
90	9250	168569
90	9000	166966
90	8750	165576
90	8500	163229
90	8250	161038
90	8000	159488
90	7750	157223
90	7500	155588
90	7250	153615
90	7000	151303
90	6750	149236
90	6500	147651
90	6250	144824
90	6000	143303
90	5750	141420
90	5500	139317
90	5250	136444
90	5000	134108
90	4750	130861
90	4500	128144
90	4250	124370
90	4000	121451
90	3750	116383
90	3500	112863
90	3250	109829
90	3000	107212
90	2750	104843
90	2500	102499
90	2250	98544
90	2000	93508
90	1750	89174
90	1500	84986
90	1250	79693
90	1000	72705
90	750	63737
90	500	54753
90	250	41963
90	100	31773
90	75	29191
90	50	27131
90	25	21029
90	10000	173671
90	9750	171665
90	9500	170439
90	9250	168484
90	9000	166835
90	8750	165028
90	8500	163471
90	8250	161768
90	8000	159705
90	7750	157391
90	7500	155398
90	7250	153867
90	7000	151740
90	6750	149902
90	6500	146552
90	6250	144309
90	6000	142276
90	5750	139566
90	5500	136979
90	5250	134072
90	5000	131979
90	4750	129238
90	4500	127412
90	4250	124692
90	4000	121675
90	3750	118909
90	3500	114192
90	3250	112155
90	3000	109335
90	2750	106281
90	2500	102364
90	2250	99949
90	2000	96424
90	1750	91576
90	1500	85959
90	1250	80339
90	1000	74926
90	750	67768
90	500	59284
90	250	45196
90	100	31987
90	75	29404
90	50	25896
90	25	21853
90	10000	173455
90	9750	171852
90	9500	170622
90	9250	168618
90	9000	166985
90	8750	164759
90	8500	162273
90	8250	160676
90	8000	158925
90	7750	157160
90	7500	155854
90	7250	154134
90	7000	151523
90	6750	149315
90	6500	147437
90	6250	145898
90	6000	143755
90	5750	141832
90	5500	138928
90	5250	136535
90	5000	134753
90	4750	131099
90	4500	128211
90	4250	126029
90	4000	123857
90	3750	121050
90	3500	119031
90	3250	115768
90	3000	112745
90	2750	108972
90	2500	103096
90	2250	98044
90	2000	94445
90	1750	89785
90	1500	84378
90	1250	78399
90	1000	72144
90	750	66149
90	500	55235
90	250	42786
90	100	34238
90	75	30540
90	50	26267
90	25	23000
100	10000	19905
100	9750	20145
100	9500	20526
100	9250	20942
100	9000	20939
100	8750	21354
100	8500	21756
100	8250	22290
100	8000	22553
100	7750	22855
100	7500	23264
100	7250	23531
100	7000	24212
100	6750	24544
100	6500	25130
100	6250	25386
100	6000	25774
100	5750	26219
100	5500	26768
100	5250	27004
100	5000	27394
100	4750	28179
100	4500	28994
100	4250	29226
100	4000	29662
100	3750	30319
100	3500	30244
100	3250	30082
100	3000	30989
100	2750	30580
100	2500	30925
100	2250	31569
100	2000	31148
100	1750	30466
100	1500	30312
100	1250	30036
100	1000	30381
100	750	32164
100	500	30672
100	250	29200
100	100	24531
100	75	23406
100	50	21352
100	25	18404
100	10000	19795
100	9750	20028
100	9500	20194
100	9250	20564
100	9000	20820
100	8750	21264
100	8500	21536
100	8250	21657
100	8000	22156
100	7750	22512
100	7500	22835
100	7250	23073
100	7000	23395
100	6750	23956
100	6500	24172
100	6250	24423
100	6000	24749
100	5750	24947
100	5500	25250
100	5250	25622
100	5000	25827
100	4750	26477
100	4500	26582
100	4250	27628
100	4000	28401
100	3750	28254
100	3500	28870
100	3250	29479
100	3000	29443
100	2750	30237
100	2500	30601
100	2250	30537
100	2000	31353
100	1750	31819
100	1500	31273
100	1250	33285
100	1000	33683
100	750	33245
100	500	33712
100	250	29784
100	100	27013
100	75	25555
100	50	22675
100	25	17350
100	10000	19975
100	9750	20225
100	9500	20621
100	9250	20833
100	9000	21238
100	8750	21247
100	8500	21563
100	8250	21787
100	8000	22150
100	7750	22376
100	7500	22754
100	7250	23161
100	7000	23317
100	6750	23614
