threshold	alignment_size	SNPs
100	2000	9783
100	1750	9987
100	1500	9417
100	1250	8996
100	1000	8517
100	750	7520
100	500	6855
100	250	4821
100	100	2873
100	75	2606
100	50	2183
100	25	1331
95	2000	24703
95	1750	22660
95	1500	20372
95	1250	18485
95	1000	16230
95	750	13366
95	500	10459
95	250	6121
95	100	3538
95	75	3200
95	50	2389
95	25	1430
80	2000	24887
80	1750	22833
80	1500	20534
80	1250	18634
80	1000	16359
80	750	13490
80	500	10544
80	250	6169
80	100	3564
80	75	3243
80	50	2412
80	25	1447
70	2000	24903
70	1750	22851
70	1500	20548
70	1250	18648
70	1000	16373
70	750	13503
70	500	10554
70	250	6176
70	100	3570
70	75	3246
70	50	2415
70	25	1449
60	2000	24921
60	1750	22868
60	1500	20564
60	1250	18664
60	1000	16390
60	750	13516
60	500	10564
60	250	6184
60	100	3578
60	75	3252
60	50	2422
60	25	1454
50	2000	24948
50	1750	22894
50	1500	20585
50	1250	18685
50	1000	16413
50	750	13537
50	500	10583
50	250	6191
50	100	3582
50	75	3255
50	50	2424
50	25	1456
99	2000	22759
99	1750	20930
99	1500	18783
99	1250	16975
99	1000	14953
99	750	12223
99	500	9680
99	250	5685
99	100	3342
99	75	2606
99	50	2183
99	25	1331
98	2000	23936
98	1750	21993
98	1500	19794
98	1250	17940
98	1000	15756
98	750	12972
98	500	10224
98	250	6026
98	100	3474
98	75	3051
98	50	2357
98	25	1331
97	2000	24335
97	1750	22323
97	1500	20072
97	1250	18228
97	1000	15996
97	750	13174
97	500	10321
97	250	6068
97	100	3519
97	75	3167
97	50	2357
97	25	1331
96	2000	24534
96	1750	22527
96	1500	20232
96	1250	18410
96	1000	16127
96	750	13280
96	500	10410
96	250	6112
96	100	3524
96	75	3200
96	50	2389
96	25	1430
