threshold	alignment_size	SNPs
90	10000	4651750
90	9750	4651722
90	9500	4651761
90	9250	4651712
90	9000	4651684
90	8750	4651731
90	8500	4651779
90	8250	4651738
90	8000	4651742
90	7750	4651714
90	7500	4651773
90	7250	4651755
90	7000	4651687
90	6750	4651605
90	6500	4651671
90	6250	4651757
90	6000	4651823
90	5750	4651824
90	5500	4651944
90	5250	4651934
90	5000	4651860
90	4750	4651927
90	4500	4651896
90	4250	4652028
90	4000	4652035
90	3750	4652097
90	3500	4652225
90	3250	4652130
90	3000	4652126
90	2750	4652111
90	2500	4652093
90	2250	4652044
90	2000	4651975
90	1750	4651737
90	1500	4651849
90	1250	4652039
90	1000	4652173
90	750	4652053
90	500	4652610
90	250	4653564
90	100	4653569
90	75	4652212
90	50	4653336
90	25	4643965
90	10000	4651741
90	9750	4651748
90	9500	4651696
90	9250	4651658
90	9000	4651763
90	8750	4651766
90	8500	4651754
90	8250	4651719
90	8000	4651751
90	7750	4651749
90	7500	4651737
90	7250	4651720
90	7000	4651692
90	6750	4651697
90	6500	4651673
90	6250	4651708
90	6000	4651749
90	5750	4651681
90	5500	4651651
90	5250	4651733
90	5000	4651735
90	4750	4651799
90	4500	4651800
90	4250	4651710
90	4000	4651628
90	3750	4651538
90	3500	4651542
90	3250	4651546
90	3000	4651341
90	2750	4651377
90	2500	4651424
90	2250	4651430
90	2000	4651837
90	1750	4651690
90	1500	4651506
90	1250	4651882
90	1000	4652061
90	750	4652033
90	500	4651513
90	250	4652237
90	100	4650462
90	75	4649284
90	50	4650379
90	25	4634521
90	10000	4651759
90	9750	4651807
90	9500	4651837
90	9250	4651867
90	9000	4651861
90	8750	4651850
90	8500	4651824
90	8250	4651738
90	8000	4651748
90	7750	4651716
90	7500	4651765
90	7250	4651796
90	7000	4651811
90	6750	4651817
90	6500	4651827
90	6250	4651843
90	6000	4651783
90	5750	4651796
90	5500	4651792
90	5250	4651774
90	5000	4651635
90	4750	4651623
90	4500	4651644
90	4250	4651579
90	4000	4651589
90	3750	4651618
90	3500	4651611
90	3250	4651432
90	3000	4651337
90	2750	4651558
90	2500	4651613
90	2250	4651754
90	2000	4651708
90	1750	4651609
90	1500	4651784
90	1250	4651716
90	1000	4651091
90	750	4650802
90	500	4650861
90	250	4650970
90	100	4650368
90	75	4648113
90	50	4652123
90	25	4640928
90	10000	4651788
90	9750	4651808
90	9500	4651863
90	9250	4651871
90	9000	4651833
90	8750	4651855
90	8500	4651807
90	8250	4651884
90	8000	4651889
90	7750	4651909
90	7500	4651938
90	7250	4651923
90	7000	4651860
90	6750	4651899
90	6500	4651883
90	6250	4651926
90	6000	4651943
90	5750	4651932
90	5500	4651936
90	5250	4651988
90	5000	4652041
90	4750	4652148
90	4500	4652031
90	4250	4652025
90	4000	4652065
90	3750	4652181
90	3500	4652036
90	3250	4652052
90	3000	4652164
90	2750	4651940
90	2500	4651553
90	2250	4651689
90	2000	4651720
90	1750	4651955
90	1500	4652174
90	1250	4652329
90	1000	4652332
90	750	4651729
90	500	4651201
90	250	4652239
90	100	4651350
90	75	4650965
90	50	4652938
90	25	4650343
90	10000	4651698
90	9750	4651720
90	9500	4651700
90	9250	4651761
90	9000	4651768
90	8750	4651741
90	8500	4651759
90	8250	4651812
90	8000	4651759
90	7750	4651815
90	7500	4651779
90	7250	4651814
90	7000	4651748
90	6750	4651748
90	6500	4651782
90	6250	4651754
90	6000	4651794
90	5750	4651917
90	5500	4651827
90	5250	4651906
90	5000	4651816
90	4750	4651746
90	4500	4651716
90	4250	4651703
90	4000	4651877
90	3750	4651882
90	3500	4651829
90	3250	4651884
90	3000	4651823
90	2750	4651844
90	2500	4651823
90	2250	4651581
90	2000	4651681
90	1750	4651576
90	1500	4651610
90	1250	4651097
90	1000	4650658
90	750	4651463
90	500	4651683
90	250	4649693
90	100	4646062
90	75	4644694
90	50	4649161
90	25	4639587
90	10000	4651702
90	9750	4651706
90	9500	4651728
90	9250	4651749
90	9000	4651741
90	8750	4651780
90	8500	4651801
90	8250	4651789
90	8000	4651816
90	7750	4651829
90	7500	4651840
90	7250	4651846
90	7000	4651771
90	6750	4651803
90	6500	4651809
90	6250	4651853
90	6000	4651875
90	5750	4651904
90	5500	4651859
90	5250	4651939
90	5000	4651891
90	4750	4651909
90	4500	4652011
90	4250	4652027
90	4000	4652071
90	3750	4652008
90	3500	4652034
90	3250	4652177
90	3000	4652055
90	2750	4652169
90	2500	4652073
90	2250	4652125
90	2000	4652245
90	1750	4651991
90	1500	4651775
90	1250	4651783
90	1000	4652097
90	750	4652127
90	500	4653068
90	250	4652307
90	100	4652584
90	75	4652253
90	50	4652282
90	25	4644079
90	10000	4651736
90	9750	4651707
90	9500	4651692
90	9250	4651748
90	9000	4651746
90	8750	4651718
90	8500	4651723
90	8250	4651779
90	8000	4651834
90	7750	4651753
90	7500	4651798
90	7250	4651806
90	7000	4651902
90	6750	4651888
90	6500	4651885
90	6250	4651866
90	6000	4651889
90	5750	4652029
90	5500	4652058
90	5250	4652076
90	5000	4652082
90	4750	4652056
90	4500	4651969
90	4250	4652050
90	4000	4652012
90	3750	4651817
90	3500	4651944
90	3250	4651738
90	3000	4651525
90	2750	4651588
90	2500	4651418
90	2250	4651309
90	2000	4651147
90	1750	4651088
90	1500	4650748
90	1250	4650703
90	1000	4650502
90	750	4649869
90	500	4649616
90	250	4647264
90	100	4647738
90	75	4645116
90	50	4649475
90	25	4646671
90	10000	4651707
90	9750	4651715
90	9500	4651720
90	9250	4651743
90	9000	4651740
90	8750	4651784
90	8500	4651819
90	8250	4651871
90	8000	4651779
90	7750	4651783
90	7500	4651756
90	7250	4651691
90	7000	4651676
90	6750	4651662
90	6500	4651665
90	6250	4651645
90	6000	4651636
90	5750	4651708
90	5500	4651786
90	5250	4651823
90	5000	4651719
90	4750	4651588
90	4500	4651628
90	4250	4651763
90	4000	4651764
