threshold	alignment_size	SNPs
90	10000	65364
90	9750	64497
90	9500	63598
90	9250	62726
90	9000	61930
90	8750	61127
90	8500	60161
90	8250	59365
90	8000	58601
90	7750	56973
90	7500	55508
90	7250	54469
90	7000	53411
90	6750	52201
90	6500	51360
90	6250	49960
90	6000	49031
90	5750	47858
90	5500	46324
90	5250	45270
90	5000	43724
90	4750	42397
90	4500	41213
90	4250	39777
90	4000	38624
90	3750	37453
90	3500	35996
90	3250	34544
90	3000	32874
90	2750	30957
90	2500	29313
90	2250	27700
90	2000	26013
90	1750	23921
90	1500	21604
90	1250	19695
90	1000	17379
90	750	14457
90	500	11403
90	250	6793
90	100	3693
90	75	3354
90	50	2512
90	25	1538
90	10000	65202
90	9750	64260
90	9500	62885
90	9250	62159
90	9000	61332
90	8750	60523
90	8500	59736
90	8250	58517
90	8000	57528
90	7750	56006
90	7500	54321
90	7250	53552
90	7000	52457
90	6750	51358
90	6500	50562
90	6250	49289
90	6000	48020
90	5750	46329
90	5500	45182
90	5250	43996
90	5000	42510
90	4750	41074
90	4500	39806
90	4250	38370
90	4000	37337
90	3750	36063
90	3500	34786
90	3250	33540
90	3000	31801
90	2750	30821
90	2500	29450
90	2250	27796
90	2000	26166
90	1750	24025
90	1500	22213
90	1250	19879
90	1000	17623
90	750	15062
90	500	12421
90	250	8533
90	100	5331
90	75	4522
90	50	3277
90	25	2698
90	10000	65240
90	9750	64526
90	9500	63951
90	9250	63059
90	9000	62089
90	8750	61324
90	8500	60475
90	8250	59638
90	8000	58191
90	7750	57165
90	7500	56238
90	7250	55439
90	7000	54436
90	6750	53350
90	6500	52098
90	6250	51069
90	6000	50149
90	5750	48866
90	5500	46793
90	5250	45562
90	5000	44502
90	4750	43186
90	4500	41959
90	4250	40729
90	4000	39457
90	3750	37983
90	3500	36175
90	3250	34837
90	3000	32977
90	2750	31314
90	2500	29502
90	2250	27776
90	2000	25768
90	1750	24217
90	1500	22314
90	1250	19929
90	1000	17418
90	750	15116
90	500	12146
90	250	8505
90	100	5131
90	75	4620
90	50	3270
90	25	2033
90	10000	65560
90	9750	64545
90	9500	63951
90	9250	62891
90	9000	62144
90	8750	61446
90	8500	59831
90	8250	58509
90	8000	57533
90	7750	56468
90	7500	55600
90	7250	54597
90	7000	53520
90	6750	52581
90	6500	51399
90	6250	50235
90	6000	48984
90	5750	47746
90	5500	46453
90	5250	45708
90	5000	44437
90	4750	43282
90	4500	41870
90	4250	40536
90	4000	39231
90	3750	37609
90	3500	36200
90	3250	34734
90	3000	33049
90	2750	31416
90	2500	29563
