threshold	study	alignment_size
90	alfsnes2020	52220
90	buckley2018	914
90	cehovin2018	17725
90	demczuk2015	34909
90	deSilva2016	61259
90	didelot2016	6821
90	ezewudo2015	16642
90	fifer2018	8567
90	golparian2020	38788
90	grad2016	52416
90	kwong2016	23255
90	kwong2018	20817
90	lan2020	24181
90	less2018	33036
90	mortimer2020	51829
90	ryan2018	16823
90	sanchezbuso2019	45238
90	thomas2019	49618
90	town2020	60358
90	willimason2019	54220
90	wind2017	19519
90	yahara2018	24732
100	alfsnes2020	22465
100	buckley2018	828
100	cehovin2018	12414
100	demczuk2015	16500
100	deSilva2016	47813
100	didelot2016	6257
100	ezewudo2015	15225
100	fifer2018	7812
100	golparian2020	22798
100	grad2016	38953
100	kwong2016	20994
100	kwong2018	18954
100	lan2020	18879
100	less2018	22100
100	mortimer2020	44221
100	ryan2018	8600
100	sanchezbuso2019	34379
100	thomas2019	23045
100	town2020	45262
100	willimason2019	8441
100	wind2017	17148
100	yahara2018	17676
95	alfsnes2020	50042
95	buckley2018	905
95	cehovin2018	16838
95	demczuk2015	33240
95	deSilva2016	59973
95	didelot2016	6747
95	ezewudo2015	15225
95	fifer2018	8483
95	golparian2020	37817
95	grad2016	50924
95	kwong2016	22655
95	kwong2018	20122
95	lan2020	23281
95	less2018	31954
95	mortimer2020	50502
95	ryan2018	15209
95	sanchezbuso2019	44371
95	thomas2019	47741
95	town2020	58937
95	willimason2019	51593
95	wind2017	18816
95	yahara2018	23605
